Date,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,Ball_6
24.08.2021,21,30,32,43,50,58
26.08.2021,2,22,26,37,44,49
29.08.2021,6,27,37,49,52,53
31.08.2021,5,21,35,36,55,57
2.09.2021,16,19,31,43,58,60
5.09.2021,5,16,36,37,50,51
7.09.2021,7,17,23,41,44,47
7.09.2021,18,25,42,45,54,60
10.09.2021,11,18,26,34,42,60
12.09.2021,1,10,17,22,50,58
14.09.2021,7,14,18,31,43,47
16.09.2021,14,16,20,29,36,38
19.09.2021,5,17,27,38,47,52
21.09.2021,13,15,26,30,48,59
23.09.2021,3,15,20,45,56,58
26.09.2021,7,13,22,26,44,56
28.09.2021,15,26,27,37,51,58
30.09.2021,8,10,28,39,49,60
3.10.2021,7,19,24,27,47,58
5.10.2021,9,18,25,36,41,59
10.10.2021,3,18,23,33,47,58
12.10.2021,9,15,17,18,32,43
14.10.2021,3,8,20,23,43,48
17.10.2021,8,37,42,43,56,57
19.10.2021,16,19,26,31,35,36
21.10.2021,23,25,34,35,36,55
24.10.2021,6,17,23,31,47,55
26.10.2021,1,8,22,30,36,56
28.10.2021,22,28,53,54,58,59
31.10.2021,5,32,34,44,48,50
2.11.2021,5,14,34,37,49,51
4.11.2021,3,18,37,44,56,60
7.11.2021,4,22,28,37,39,56
9.11.2021,1,5,7,12,29,37
11.11.2021,3,6,9,21,39,49
